编号,名称,属性,种族值_生命,种族值_物攻,种族值_魔攻,种族值_物防,种族值_魔防,种族值_速度,种族值_总和,特性名称,特性效果,简介,进化阶段
NO185,甜田螺,水/萌,68,61,64,49,74,54,370,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,它们进食较少，通过经常睡觉来维持体内养分的平衡。只有在海水退潮时才偶尔会出现在沙滩上，在醒着的时候才会立起来，每天大概只有五分之一的时间是醒着的。,Ⅰ阶
NO186,壳乙螺,水/萌,91,81,86,66,99,72,495,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,生活在螺壳里，似乎对壳外面的世界不太关心，多数时间都躲在壳里睡觉，对食物的香味比较敏感，可以用食物引诱出来。,Ⅱ阶
NO187,卡洛儿,水/萌,114,102,107,82,124,90,619,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,有些呆，不论交给它们什么东西，都会用心地放进自己的壳里。如果能找到办法和它们交流的话，它可能会从螺壳里拿出意想不到的东西作为礼物。,最终形态
NO188,棋棋,武/地,72,100,36,70,56,100,434,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,“黄金时代地系部族大多无法运用魔力，但他们有着独特的智慧和精湛的技艺。地系精灵王教他们使用建造之术，地系部族用黑色矿物做出了棋子精灵，用以娱乐。”——《黄金时代的地系工匠们·二》,Ⅰ阶
NO189,棋骑士,武/地,90,126,45,88,69,125,543,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,“棋棋的祖先们曾与地系族人相伴而生，地系部族周围多蛮兽。白天棋棋们陷入沉睡，被当作孩子的玩具，在聚落里四处滚动。夜晚则遵循着古老的指令，纷纷醒来守护着部族，替人们守夜巡逻。”——《黄金时代的地系工匠们·三》,最终形态
NO190,棋齐垒,武/地,89,94,38,116,77,75,489,保卫,防御技能应对2次后，回满状态，变为棋绮后。,“黑白棋子们有类似铠甲一样的外形，民间传闻中白银骑士团的盔甲就是模仿它们建造的，但也有另外一种说法是地系部族的族人参与了白银骑士团的盔甲制造，真实性都已不可考。”——《黄金时代的地系工匠们·五》,最终形态
NO191,棋祈督,武/地,126,87,87,90,72,85,547,好象坏象,状态技能应对1次后，回满状态，变为棋绮后。,“黄金时代过去后，棋棋开始了流浪，保护族人的遗痕行为一直在影响着它们，它们会主动寻找人文聚落，试图融入洛克的社会。也有部分出现在野外，这些野生的棋棋手感不如家养棋棋温润，干巴巴的有些粗糙。”——《黄金时代的地系工匠们·八》,最终形态
NO192,棋绮后,武/地,93,84,84,82,75,90,508,渗透,己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,“最初只有黑色棋子，后来地系工匠意外发现了光之水晶，打造了白色的棋子。黑白子交替轮班，互不相见，却共同守护地系部族。它们换班对峙时，不同棋子有各自的行走规则，逐渐发展成象棋游戏规则的雏形。”——《黄金时代的地系工匠们·四》,最终形态
NO193,奔波鼠,地,72,37,93,67,90,92,451,奔波命,使用防御技能后，回合结束时脱离。,毛色杂乱且粗糙，像是融合了泥土、枯叶的颜色，黑色的眼睛透露出机灵的光。它们背着自己的全部家当，在野外长期流浪，一直在路上，从未到达旅途的终点。有着健壮的身躯，但进攻意愿低，只对闪闪发光的东西兴趣浓厚。,Ⅰ阶
NO194,流浪鼠,地,90,46,116,84,112,115,563,奔波命,使用防御技能后，回合结束时脱离。,背后鼓鼓的行囊里是更多捡来的收藏品，闪闪发光的物体对它们有着无与伦比的吸引力。不论是亮晶晶的小石子，闪着微光的菌类，还是洛克不小心遗落的饰品。在劳累之后，它们也会静静地在波光粼粼的水面望着月亮。,最终形态
NO195,呆小路,草/萌,52,60,64,68,79,57,380,营养液泡,获得增益时，额外获得层数+2。,幼年期较长，主要靠嗅闻、聆听和头上的叶子触角获取信息。头顶毛发会散发出爆米花的香味，偶尔引来其他精灵。它们之间用互闻头顶代表问候。,Ⅰ阶
NO196,舞动路路,草/萌,69,80,86,91,105,76,507,营养液泡,获得增益时，额外获得层数+2。,每只舞动路路都携带着一颗蛋，经常看到它们用头上的毛发擦拭蛋，那是它们最珍视的一部分。蓬松的毛发下看不到眼睛，主要靠头上的叶片来感受环境，身体非常灵活。,Ⅱ阶
NO197,白发路路,草/萌,86,100,107,113,132,95,633,营养液泡,获得增益时，额外获得层数+2。,白色的毛发覆盖手臂和身体，随身携带的蛋散发出爆米花的香味。能从随身携带的蛋中获得勇气和力量，暂时还不清楚是什么原理。,最终形态
NO198,逗逗,萌,48,70,64,68,68,66,384,鼓气,使用能耗为3的技能时，获得攻防+20%。,体内充满轻质气体，骨骼与肌肉结构都很轻，因此可以在空中漂浮活动。它通过换气调节气体量与分布，来控制自己上浮或下沉。,Ⅰ阶
NO199,气球猫,萌,64,93,86,90,90,88,511,鼓气,使用能耗为3的技能时，获得攻防+20%。,外表看起来软萌，但身体其实很结实——长期保持平衡姿态，练出了稳定身体的核心肌肉。暴风雨的时候气球猫们都会紧紧抓着树或灌木，一旦松手便很可能被风吹走。,Ⅱ阶
NO200,梦想三三,萌,81,117,107,113,113,110,641,鼓气,使用能耗为3的技能时，获得攻防+20%。,咻咻咻！听到“喵呜”一声的小洛克们请立刻拿出课本做好，魔法学院开课了！请牢记以下守则：请勿在课堂上投喂助教，请勿拉扯助教的尾巴，请勿对助教发出“嘬嘬嘬”等不尊敬的声音！,最终形态
NO201,花怨鳗,地/草,232,73,73,110,90,52,630,铃兰晚钟,首次入场时，失去自己一半的当前生命。,它们的身体有趋触性，身躯底部会紧贴赖以生存的土地，这让它们有安全感，尤其喜欢湿润的泥土。三朵花常相互缠绕以保持接触，但也因此容易打结。当它们争执时，会发出连绵的铃声。,Ⅰ阶
NO202,鳗尾兽,地/草,290,91,91,138,113,65,788,铃兰晚钟,首次入场时，失去自己一半的当前生命。,它头部几乎没有视力，主要靠嘴感受气流来调整方向，偶尔会在地表横冲直撞。吼叫时会带动口中的吊钟形花朵震动，发出阵阵钟声。它们和同伴间通过这些声响，彼此交流。,最终形态
NO203,伊雷龙,龙,90,73,152,55,79,72,521,嫉妒,蓄力状态下，可以使用任一携带技能。,幼年的小龙喜欢在雨天调皮捣蛋，充满水分的环境令它们十分活跃，在水里游得飞快，小洛克抓也抓不住它们。,Ⅰ阶
NO204,伊兰亚龙,龙,112,91,190,69,99,90,651,嫉妒,蓄力状态下，可以使用任一携带技能。,当它舒展躯体时，水流沿鳞片纹路均匀铺展，使其外形兼具威慑力与神圣感，威严而不可侵犯。“在龙系精灵的历史中起到了关键的作用，一直默默地付出，很少有人知道它的存在。”,最终形态
NO205,拉特,电,67,80,80,62,78,100,467,噼啪！,入场后首次行动，所选技能使用次数+1。,同伴之间经常会打架，用头或者用拳头对撞。每撞一下都会闪着电光。大多数拉特沉默寡言，但正义感十足，拉特们会出手帮助遇到麻烦的洛克和精灵。,Ⅰ阶
NO206,酷拉,电,83,100,100,78,97,125,583,噼啪！,入场后首次行动，所选技能使用次数+1。,能利用电能量高速移动，偶尔也会发生意外事故与同类相撞，交流时会发出“噼啪噼啪”的声音。,最终形态
NO207,闪电环,电,64,49,49,51,50,72,335,防过载保护,每次行动后脱离。,总是一副不开心的样子，面对对手的时候会使出全力攻击，不论所处环境有多么危险，只要没电就会立刻陷入昏睡。,Ⅰ阶
NO208,刺电环,电,85,65,65,68,67,96,446,防过载保护,每次行动后脱离。,经常三三两两聚集在一起互相充电。情绪也会随着电力在同伴之间传播，群聚在一起容易变得更不开心，靠近后能听到此起彼伏的电流杂音，偶尔还有“呜呜”的声音。,Ⅱ阶
NO209,荆棘电环,电,106,81,81,85,84,120,557,防过载保护,每次行动后脱离。,总是会发出意义不明的“哔哔”声，似乎使用这种声音诱敌。表情看起来更加痛苦了，仿佛电力在体内循环本身就是一种负担。,最终形态
NO210,小箱怪,机械/幻,111,103,103,122,122,64,625,虚假宝箱,自己力竭时，敌方获得攻防+20%。,被当作具有自我意识的宝箱，又因为与宝箱形似，变成了象征宝箱的吉祥物精灵。有些洛克会对着小箱怪祈祷好运，甚至向它投掷洛克贝许愿。,Ⅰ阶
NO211,迷迷箱怪,机械/幻,138,129,129,153,153,80,782,虚假宝箱,自己力竭时，敌方获得攻防+20%。,它们并不追逐也不恐吓，只是静静地埋伏，等待小洛克伸手想要开宝箱时，才会突然袭击。因此老练的魔法师们会说：“冒险不难，难的是抵达终点时敢不敢伸手。”,最终形态
NO212,古钟蛇,萌/毒,85,63,63,64,91,80,446,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,通常低伏身体，隐藏在草丛中，只露出尾巴发出咚咚咚的轻响，吸引好奇的精灵过来。其尾部的结构可以在摇晃时发出咚咚的鼓声，据说玄玉岛的洛克以此为灵感，制作出了某种广受欢迎的玩具。,Ⅰ阶
NO213,寒音蛇,萌/毒,106,79,79,80,114,100,558,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,拥有能分泌毒液的特殊腺体，能够通过背部空心管状的骨棘发射毒液，致使猎物晕厥。毒液会散发出腐臭的气味，有精灵或洛克靠近查看味道来源时，会猛然跃起扑击。,最终形态
NO214,矮脚爬爬,虫,80,117,110,74,59,92,532,振奋虫心,主动击败敌方后，己方队伍获得5次随机奉献。,足较短，翻倒后很难再顺利站起来。野外发现的矮脚爬爬里面十个有八个正在努力翻身。因为可爱的外表而受到许多小洛克的喜爱，但受惊时会咬人，致使王国只能贴出告示，警告大家不要轻易触碰。,Ⅰ阶
NO215,恶魔红钻,虫/恶,100,147,137,93,74,115,666,振奋虫心,主动击败敌方后，己方队伍获得5次随机奉献。,喜欢在洞穴的暗处歇息，会提前布好精细且带有剧毒的网守株待兔。步足末端布满危险的剧毒，尖锐而坚硬的触足既能用作进攻的矛，也能用作防御的盾。,最终形态
NO216,火尾瓦特,火,63,70,29,81,56,39,338,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,全身被毛又干燥又粗糙，容易产生静电现象，甚至偶尔冒出火星。它的利爪有可能是打火石，连续抓挠树木的话可能会将树木点燃。,Ⅰ阶
NO217,火尾战士,火,84,94,39,108,74,52,451,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,经常看到它在磨爪子，磨得发烫了才会停下。在战斗前会加热自己的身体以提升力量，有时甚至会让整个头顶的毛发燃烧起来。,Ⅱ阶
NO218,烈火守护,火,105,117,49,135,93,65,564,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,在草原上全速奔跑的时候时常引发火灾。毛发蓬松且疏水，毛发内部均能发现未燃尽的火星。被驯服后性情极其温顺。,最终形态
NO219,里拉鳐,水,118,82,89,103,147,105,644,吟游之弦,赋予的印记不会替换其他印记，而是同时生效。,里拉鳐的体表能够分泌并牵连出细长的粘液，这些粘液对水流变化极其敏感，能帮助它判断水流方向。游动时，水流掠过粘液弦会引发持续振动，发出琴音。一般认为雄性的气孔粘液更少，形成的琴弦更细，因此琴声更清脆明亮。,最终形态
NO220,海枝枝,水/幽,78,58,148,96,120,110,610,珊瑚骨,敌方精灵离场时，自己获得全技能能耗-3。,以海水中的微小生物为食，捕食时会发出“啵啵”声，身体分泌出美丽的树枝状骨骼，呈现美丽的苍青色。喜欢用不同颜色的海藻打扮自己，代谢时能给海藻提供养分，彼此互利共生。,最终形态
NO221,多西,机械/地,64,73,26,82,70,30,345,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,可以通过磁性来悬浮在空中，对影响磁场稳定的东西异常敏感，偶尔会因为磁力吸来一些莫名其妙的小零件。可以通过操纵磁力来造成巨大的破坏，常是电力故障的罪魁祸首。,Ⅰ阶
NO222,库多西,机械/地,85,98,34,109,93,40,459,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,兼具岩石的稳固与钢铁的坚韧，身上带有厚重的泥土气味，推测是因为习惯在地底休眠所致。能够利用磁场的力量发动攻击，但也会在特殊磁场的影响下动弹不得，因此总是在人烟稀少的地方栖息。,Ⅱ阶
NO223,波多西,机械/地,106,122,43,136,116,50,573,定向精炼,己方精灵每使用1次防御技能，自己入场时机械系和地面系技能威力+10%。,能将钢铁之力积蓄于双爪中，使出蓄力重击，威力十足。以地底的粗矿为食，精炼过的钢铁对它而言似乎有着不同寻常的风味。在它出没的地方，常有铁锅失窃。,最终形态
NO224,小翼龙,龙/翼,66,91,24,73,63,92,409,暴食,携带的龙系技能获得迅捷。,身形圆润可爱，翼膜十分柔软，只能在陆地上漂浮。植食性，最爱啃蕨类于低矮灌木，进食的时候总是呛到，猜测是因为呼吸系统还没有发育完全，需要用嘴巴呼吸。,Ⅰ阶
NO225,翼龙,龙/翼,83,114,31,91,79,115,513,暴食,携带的龙系技能获得迅捷。,拥有庞大的身躯，肚子总是鼓鼓的，充满发酵的食物。它有力的双翼和坚韧的躯体仿佛为长途飞行而生，在疾飞时仍能自由呼吸。,最终形态
NO226,电动长颈鹿,电,55,59,20,65,47,72,318,蓄电池,每入场1次，永久获得双攻+20%。,平时几乎不带电，通过尾巴放电，贸然摸尾巴可能会被电晕。听到节拍时，它体表的细微电感会跟着节奏一跳一跳，像在悄悄打拍子。,Ⅰ阶
NO227,奔乐鹿,电,73,79,27,86,63,96,424,蓄电池,每入场1次，永久获得双攻+20%。,非常喜欢被抚摸，但要避开头、脚和尾巴。夜间视力很差，通常会睡眠；若必须夜间行动，会消耗能量点亮头顶电球来照明，而电球的明暗也会随听见的节拍起伏。,Ⅱ阶
NO228,爵士鹿,电,92,99,34,108,79,120,532,蓄电池,每入场1次，永久获得双攻+20%。,即使在野外遇到也不会贸然攻击，目光对视时会礼貌鞠躬。它能更精细地调整头顶电球的电流强度：既可用于攻击与照明，也可配合节奏稳定输出，进行电疗治疗伤病。,最终形态
NO229,缇塔,机械,73,99,38,98,74,72,454,向心力,1号位和2号位技能获得传动1和威力+30。,总是扫描寻找着什么，明明对洛克抱有极大的好奇，但是因为其机器守则限制，只能和洛克保持在一个不远不近的距离。“既可靠又实用，深得洛克们青睐，是您寻物时的不二之选。”,Ⅰ阶
NO230,声波缇塔,机械,92,124,48,122,92,90,568,向心力,1号位和2号位技能获得传动1和威力+30。,长长的机械触手可以更方便地抓取物品，遵守着古老的机器守则，然而其需要寻找的物品，似乎早已消逝在历史中。“更加强大的功能，见到机械，它们会毫不留情地抓过来。见到洛克，也会毫不留情地抓过来。”,最终形态
NO231,小鹬,翼,56,38,38,67,52,69,320,起飞加速,本场战斗首次使用的技能获得迅捷。,小鹬有着灰白色的羽毛，孱弱的双翼还无法驾驭风的力量，但可以依靠尚为柔软的皮甲结构进行短暂的滑翔。虽然幼小却已经懂得在划过水面时溅起水花，吸引鱼虾露头，有时能收获比自己体型还大的战利品。,Ⅰ阶
NO232,鄙目鹬,翼,75,51,51,90,70,92,429,起飞加速,本场战斗首次使用的技能获得迅捷。,栖息在水边的浅滩，橘色的长脚使得它们非常适合涉水行走，喜欢捕食昆虫和甲壳类动物，其眼神如同寒星般锐利冷峻，会左右轻轻扇动翅膀，溅起阵阵涟漪，模仿弱小生物游动，吸引鱼类前来。,Ⅱ阶
NO233,高脚鹬,翼,94,63,63,112,87,115,534,起飞加速,本场战斗首次使用的技能获得迅捷。,拥有较大的脑容量，是运筹帷幄的猎手，坚硬的帽形结构有良好的散热性，会用巨大的头部和双翅在水面上围出一片阴影，以此吸引喜欢在阴凉处生活的水生生物，静待着来乘凉的鱼虾进入它的捕猎范围。,最终形态
NO234,脆筒甜甜,冰,72,67,72,42,55,60,368,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,使用淡奶油、蛋黄搅拌加热后，冷冻1000小时以上，有极小概率得到一只香草甜甜。以蛋筒底为支点蹦跶着前行，受到惊吓时会缩到自己的蛋筒里瑟瑟发抖。,Ⅰ阶
NO235,香草甜甜,冰,96,90,95,56,74,80,491,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,香草甜甜一族口感各有不同，头上顶着的果果是身体的一部分，拥有360度的视野。因果果吸收不同能量而演化出不同口感分支，身体散发着浓郁的奶香。,Ⅱ阶
NO236,圣代甜甜,冰,119,112,119,70,92,100,612,加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,喜欢群居的团结者，圣代甜甜诞生时就生有两颗冰淇淋球，相生相伴，两颗冰淇淋球口味性格不同却能一直融洽相处。,最终形态
NO237,刺轮砣,毒/萌,100,80,78,80,65,84,487,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,这种形态的刺轮砣皮肤虽然柔软脆弱，但是已经蕴含着强烈的毒系魔法，即使没有足够强壮的身体，也有办法保护自己。,Ⅰ阶
NO238,月亮砣,毒/萌,125,100,98,100,81,105,609,耐活王,敌方受到中毒效果伤害时，自己回复等量生命。,皮肤比矿石还要坚硬，经常在有太阳的时候浮在水面上，晒过太阳之后皮肤表面能够分泌出一种蕴含毒系魔法的物质，但对某些精灵有治愈作用，大约是一种以毒攻毒的手段。,最终形态
NO239,豆丁鱼,水/龙,45,70,74,67,70,75,401,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,总是抿着嘴巴气鼓鼓的样子，实际上不是因为生气了，而是在努力练习游泳，传说它们一族有着龙的血脉，只要努力游泳就可以进化为龙，基于精灵遗传学理论推测是龙系混血的精灵。,Ⅰ阶
NO240,快鳍鱼,水/龙,60,93,99,89,93,100,534,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,额部鼓起突出，中空有气囊，可以自由改变前额的形状，推测可能是借着移动内部空气来产生形状上的变化，潜水能力相当强，甚至可以一边在水下灵活旋转一边发出多变的叫声，呼唤着同伴，吟唱着记忆深处关于化龙的古老歌谣。,Ⅱ阶
NO241,龙鱼,水/龙,75,116,123,112,116,125,667,洄游,每次进入蓄力状态，获得全技能能耗永久-1。,长鳍长尾，身形纤细流畅，拥有强大的游泳能力和跳跃能力，身体的结构比起鱼更接近龙，证明其拥有少量龙系血脉，尾部的红珠中蕴含着些许龙系能量，可以在跃出水面时发出真正的龙吼。,最终形态
NO242,胆小鳗鱼,电/水,68,92,92,83,90,92,517,生物电,携带的电系技能获得迸发：能耗-2。,以强力放电而闻名的精灵，种族中的鳗鱼们似乎对自己的知名度一无所知。常常畏首畏尾，即使是非常弱小的对手，也能令它们战战兢兢。曾有胆小鳗鱼假死晕倒在浅滩上，原因是一只爬爬路过。,Ⅰ阶
NO243,闪电鳗鱼,电/水,85,115,115,104,112,115,646,生物电,携带的电系技能获得迸发：能耗-2。,不会被自己或同类电到，那是因为电鳗体内的脂肪组织有很好的绝缘作用。几乎全身的肌肉组织都能放电，其生物电能与闪电产生强烈共鸣，某些个体能够定向引雷、身体所能承受的电能最高可达8600000伏。,最终形态
NO244,翡翠水母,水/毒,108,30,68,75,109,76,466,扩散侵蚀,使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,柔软的精灵，通过收缩身体喷水在水中前进。会使用触手释放毒素，以此麻痹对手，然后将其拖入水中。,Ⅰ阶
NO245,琉璃水母,水/毒,134,37,85,93,136,95,580,扩散侵蚀,使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,身体的触手花纹会随心情变化，游动时非常漂亮。是海边生活的洛克的艺术灵感来源。然而它长长的触手可以释放多种效果的攻击，被它的美丽吸引注意时，可能会陷入危险哦。,最终形态
NO246,裘洛,毒,44,56,50,39,48,75,312,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,胸口的星星状器官暖烘烘的，天冷的时候裘洛们都会把前爪揣在胸口取暖。曾经有洛克贸然地接触了裘洛的尾巴，皮肤变得红肿疼痛，足足半年之后才好转痊愈。,Ⅰ阶
NO247,裘力,毒,59,74,67,52,64,100,416,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,即便在寒冷的冬天也是独来独往，从不聚在一起取暖，太冷的时候会把脚放在尾巴上。尾巴尖处有两个腺体，危险时能迅速喷射毒液，会用尾巴缠住对手释放毒素的同时使其无法逃走。,Ⅱ阶
NO248,裘卡,毒,73,93,83,65,81,125,520,蚀刻,回合结束时，敌方每2层中毒转化为1层中毒印记。,独自活动，高傲而优雅的生物。一生中只选择一只伴侣。据研究表明裘卡的体液都有剧毒，紧张时脚垫会分泌汗液，在地面上留下有剧毒的梅花形汗渍。,最终形态
NO249,可爱猿,火,100,97,43,86,67,36,429,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,头顶着活跃的微型火山，就连睡觉时也会冒出小烟圈。可别因为体型而小看了它，可爱猿头上流出的熔岩就连钢铁也能融化。,Ⅰ阶
NO250,炽热猿,火,133,130,57,115,89,48,572,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,会从头上喷出烟来彰显气势，普遍好斗。打喷嚏的时候，背上也会跟着喷出巨大的浓烟，还会洒出一些岩浆。,Ⅱ阶
NO251,火焰猿,火,167,162,72,143,111,60,715,散热,初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,哪怕是休息的时候，也像沉睡的火山一样危险。岩浆涌动的身体需要经常添加燃料，偶尔会把吃不完的食物丢到头顶的火山口里燃尽。,最终形态
NO252,布鲁斯,冰,44,60,16,68,53,54,295,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,头部开始晶体化，触感冰凉。能缓慢吸收周围热量，使自身温度维持在较低水平。头顶的白色绒球对温度变化很敏锐，能帮助它判断环境冷热。,Ⅰ阶
NO253,雪顶布鲁斯,冰,58,81,22,91,70,72,394,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,晶体化结构更稳定，修长的腕足变得更灵活，能细致地打理身体、调整伪装姿态，白色绒球对温差的感知也更敏锐。,Ⅱ阶
NO254,冰钻布鲁斯,冰,73,101,27,114,88,90,493,冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,会拾取断落的枝桠，并在枝桠表面上喷覆与头部成分相似的晶体化物质，使其变得坚硬冰冷，作为武器使用。,最终形态
NO255,治愈兔,火/萌,67,28,73,60,76,54,358,仁心,敌方受到灼烧伤害时，自己回复等量生命。,平时生活在灌木丛中，看到洛克的话会因为好奇而主动靠近。据说如果感冒了的小洛克摸摸它的小脚，就会很快康复。,Ⅰ阶
NO256,红丝绒,火/萌,90,38,98,80,101,72,479,仁心,敌方受到灼烧伤害时，自己回复等量生命。,绒毛里储存着温和的火系能量，抱在怀里就像一个小暖炉，身体散发出煎药的香味。它特别喜欢照顾受伤的精灵，会用温暖的鼻息轻轻吹拂伤口，伤口就不痛了。,Ⅱ阶
NO257,红绒十字,火/萌,112,47,122,100,127,90,598,仁心,敌方受到灼烧伤害时，自己回复等量生命。,头顶的十字结构能释放出强效的治愈魔法，轻轻一碰就能缓解肌肉酸痛，伤口也会加速愈合。如果看到受伤的精灵但无法施救的话会流泪不止。,最终形态
NO258,乌达,恶/火,80,95,49,70,42,33,369,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,喜欢藏在头盔里吓唬人，是因为需要吸收尖叫来维持自己的能量。实际上胆子很小，遇到危险会倒地装晕。,Ⅰ阶
NO259,迷你乌,恶/火,107,126,66,93,56,44,492,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,吓唬人的能力越来越强。在族群当中，越是擅长吓唬人，就越容易受到同伴的尊重，如果气势弱于对方，就要趴在地上装晕认输。,Ⅱ阶
NO260,乌拉塔,恶/火,134,158,82,116,70,55,615,恶魔的晚宴,主动击败敌方精灵时，自己获得双攻+50%。,在对决中常常使用夸张的姿态让对手退却，体内另一股意志会让它在关键时刻保持一条底线——它并不以伤害为乐，只汲取自己必要的尖叫。尊重对手，十分有礼貌。,最终形态
NO261,螺旋帕帕,机械/翼,88,55,8,79,67,80,377,翼轴,1号位技能获得迅捷和传动1。,它们立志成为机械系精灵维修专员，曾有大批战损的机械系精灵奇迹般地恢复健康，排着队回到原来生活的地方，这背后默默付出的正是不起眼的螺旋帕帕。,Ⅰ阶
NO262,帕帕斯卡,机械/翼,110,68,10,99,84,100,471,翼轴,1号位技能获得迅捷和传动1。,在机械系精灵中非常有声望。曾经制造出帕帕斯卡的洛克许下一个愿望，希望能让机械系精灵有尊严地活着。于是帕帕斯卡们整个种族一直在想办法让机械系精灵过上更体面更开心的生活。,最终形态
NO263,机械方方,机械,62,81,32,76,60,51,362,盲拧,回合开始时，技能顺序打乱，4号位的技能能耗-4。,"似乎是一种非常古老的机械系造物，用处不详。身体结构精巧，拨弄它头顶的天线，会让它变得十分愉快，甚至能断断续续地播放音乐。“方方正正，顶天立地，做人亦该如此。""",Ⅰ阶
NO264,多彩方方,机械,82,108,43,101,80,68,482,盲拧,回合开始时，技能顺序打乱，4号位的技能能耗-4。,似乎是一种非常古老的机械系造物，用处不详。热爱社交，尤其喜欢和其他种族的幼体玩耍。喜欢歌唱和舞蹈，但普遍不擅长舞蹈，容易摔倒。,Ⅱ阶
NO265,立方人,机械,103,135,54,127,101,85,605,盲拧,回合开始时，技能顺序打乱，4号位的技能能耗-4。,能够听懂和使用洛克族语言，了解洛克族的礼仪和社会结构，会模仿洛克族的行为，甚至会与其他个体组建家庭。“勤奋的他，总是不停地前行，心中在默念：每个人努力过都不普通。”,最终形态
NO266,可立鸡,火,65,79,79,55,52,66,396,指挥家,应对成功后，永久获得双攻+20%。,鸡冠有特殊腺体分泌可燃气体，情绪激动时，鸡冠会熊熊燃烧。为了便于警戒，可立鸡会排成一队，由鸡冠火焰最旺盛的个体来带领。,Ⅰ阶
NO267,晕晕鸡,火,86,106,106,74,70,88,530,指挥家,应对成功后，永久获得双攻+20%。,成长后学会了控制情绪，维持着绅士风度，为了追求优雅和游刃有余，逐渐更能控制火焰释放。偶尔会因为忍耐过度，大脑变得晕乎乎的。,Ⅱ阶
NO268,绅士鸡,火/武,108,132,132,92,87,110,661,指挥家,应对成功后，永久获得双攻+20%。,充满高尚气度的种群，常把一只手放在身后。手中的羽毛可以喷射火焰，制造独特而优雅的攻击。,最终形态
NO269,武者鸡,火/武,121,144,58,92,70,95,580,斗技,应对成功后，获得全技能威力永久+20。,极其发达健壮的双臂是它们的标志性特征，手部演变为锋利的钙化物质。这一分支舍弃了种族遗传下来的火焰魔法，堂堂正正地用双手和踢腿打败敌人。,最终形态
NO270,优优,地/光,81,35,89,84,104,92,485,哨兵,回合开始时若敌方技能足够击败自己，自己获得速度+50，行动后脱离。,白天，它们竖起蓬松的尾巴，在沙地上蹦跳活动。夜里守在洞口放哨，尾尖亮起柔和的暖黄光，并用尾巴轻点地面，把消息无声地传给同伴。,Ⅰ阶
NO271,绒光优优,地/光,101,43,111,105,130,115,605,哨兵,回合开始时若敌方技能足够击败自己，自己获得速度+50，行动后脱离。,进化后它们仍然毛绒绒、行动更显优雅敏捷。战斗时旋转腾挪如轻快战舞，发光的尾巴拖出一缕光丝带。它们警惕性极高，只需将尾巴贴地，便能感知远处的动静。,最终形态
NO272,噼啪鸟,电/翼,78,116,109,85,85,145,618,连续负荷,自己技能的迸发效果延长1回合。,“你知道洛克的头发什么时候会竖起来吗？”“是你妈妈突然闯入你房间的时候？”“是进入了噼啪鸟的电场！我还听到它的吼叫声！幸好我跑得快，差点就被电击了！”“……不过这个发型还挺帅的，下次再试试。”,最终形态
NO273,深蓝鲸,水,129,40,115,119,135,50,588,倾轧,携带的技能受能耗变化效果的影响翻倍。,深蓝鲸们喜欢贴着水面游泳，会跳出水面，和来往船只嬉戏，遇到危险时，可以把头部冰柱发射出去。种群之间通过歌声和口哨声交流，不论距离多远，互相之间的声音都能传达到。,最终形态
NO274,格兰种子,草,65,31,74,48,67,36,321,生长,回合结束时，回复12%生命。,格兰种子可以借助微风悬于空中。总是呆呆地望着对方，其实脑袋里盘算着许多鬼点子。体内花粉不停生长，使它躁动不安，总是忍不住捉弄其他精灵。,Ⅰ阶
